sku_id,block_count,actual_total,forecast_total,absolute_error,mean_block_absolute_error,block_naive_scale,block_wmape_percent,block_mase,lifecycle_tier,frequency_tier,recency_tier,abc_units_tier,abc_value_tier,strategy_tier,forecast_mode
01550M0612A,6,1.0,26.666666666666668,25.666666666666668,4.277777777777778,7.666666666666667,2566.666666666667,0.5579710144927535,dormant,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
021620616A000,6,8.0,6.507236842105265,10.338157894736844,1.7230263157894739,2.1818181818181817,129.22697368421055,0.7897203947368422,established,occasional_2_3,recent_0_2,A,C,cautious_point_forecast,cautious_point_plus_range
083100012A000,6,0.0,4.166666666666666,4.166666666666666,0.6944444444444443,1.818181818181818,,0.3819444444444444,dormant,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
083161010A000,6,9.0,4.333333333333333,12.666666666666666,2.111111111111111,1.0,140.74074074074073,2.111111111111111,dormant,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
083313124A000,6,1.0,2.8607556521892548,3.103729695081711,0.5172882825136185,1.7142857142857142,310.3729695081711,0.3017514981329441,established,recurring_4_6,recent_3_5,B,C,cautious_point_forecast,cautious_point_plus_range
0911605023000,6,1.0,11.34,10.34,1.7233333333333334,1.0,1034.0,1.7233333333333334,developing,occasional_2_3,recent_3_5,C,C,cautious_point_forecast,cautious_point_plus_range
0911912006XC0,6,1.0,4.999999999999999,5.999999999999999,0.9999999999999999,2.0,599.9999999999999,0.49999999999999994,dormant,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
0911912007000,6,74.0,45.17229771661331,58.0,9.666666666666666,10.75,78.37837837837837,0.8992248062015503,established,occasional_2_3,recent_0_2,A,C,cautious_point_forecast,cautious_point_plus_range
09136M05078000,6,6.0,9.5,13.5,2.25,1.5,225.0,1.5,developing,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
0914016023000,6,0.0,5.751,5.751,0.9585,3.0,,0.3195,developing,occasional_2_3,recent_3_5,B,C,cautious_point_forecast,cautious_point_plus_range
0914806007000,6,12.0,8.641310373377205,17.76087358225147,2.9601455970419117,3.076923076923077,148.0072798520956,0.9620473190386213,established,occasional_2_3,recent_3_5,B,C,cautious_point_forecast,cautious_point_plus_range
09148M06022000,6,1.0,8.5,9.5,1.5833333333333333,3.5,950.0,0.4523809523809524,established,rare_0_1,recent_3_5,C,C,inventory_policy_priority,inventory_policy_plus_range
0915912024000,6,11.0,29.583333333333336,40.583333333333336,6.763888888888889,16.153846153846153,368.93939393939394,0.41871693121693127,dormant,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
0915912051000,6,9.0,20.388754017716042,21.028034980602214,3.5046724967670357,,233.6448331178024,,cold_start,rare_0_1,no_history,C,C,inventory_policy_priority,inventory_policy_plus_range
0915912079000,6,0.0,43.8967656398337,43.8967656398337,7.3161276066389505,8.5,,0.8607208948987001,established,occasional_2_3,recent_0_2,A,C,cautious_point_forecast,cautious_point_plus_range
0915912L02000,6,1.0,14.000000000000002,13.666666666666668,2.277777777777778,2.333333333333333,1366.6666666666667,0.9761904761904765,established,rare_0_1,recent_0_2,A,C,inventory_policy_priority,inventory_policy_plus_range
0915918022000,6,22.0,9.902930617332458,14.834823250770569,2.472470541795095,6.076923076923077,67.43101477622986,0.40686224105488905,established,recurring_4_6,recent_0_2,A,C,point_forecast_priority,point_forecast_plus_range
0915918024000,6,2.0,7.916026361204093,7.277350907469395,1.2128918179115658,2.230769230769231,363.86754537346974,0.5437101252707018,established,occasional_2_3,stale_6_11,C,C,inventory_policy_priority,inventory_policy_plus_range
0915924009000,6,5.0,4.055154507967216,6.351718169322405,1.0586196948870674,1.3636363636363635,127.0343633864481,0.7763211095838495,established,occasional_2_3,recent_0_2,C,C,cautious_point_forecast,cautious_point_plus_range
0916435003000,6,3.0,7.291543337847067,5.861028891898044,0.9768381486496741,2.6,195.36762972993483,0.37570698024987464,established,occasional_2_3,recent_3_5,A,C,cautious_point_forecast,cautious_point_plus_range
0924130010000,6,14.0,4.0,12.666666666666668,2.111111111111111,1.2307692307692308,90.47619047619048,1.7152777777777777,dormant,rare_0_1,dormant_12_plus,C,C,inventory_policy_priority,inventory_policy_plus_range
0928017002000,6,61.0,21.61487627029419,46.7807297706604,7.796788295110066,15.76923076923077,76.68972093550886,0.49443047725088224,established,recurring_4_6,recent_0_2,A,C,point_forecast_priority,point_forecast_plus_range
0928022020000,6,12.0,3.0685333013534546,10.038702011108398,1.6731170018513997,1.6666666666666667,83.65585009256999,1.0038702011108398,established,recurring_4_6,recent_0_2,B,C,point_forecast_priority,point_forecast_plus_range
0928056004000,6,30.0,14.276067972183228,24.744377851486206,4.124062975247701,17.307692307692307,82.48125950495402,0.23827919412542273,established,recurring_4_6,recent_0_2,A,C,point_forecast_priority,point_forecast_plus_range
0928314005000,6,2.0,7.069490612590553,5.069490612590553,0.8449151020984255,0.7692307692307693,253.47453062952764,1.098389632727953,established,occasional_2_3,stale_6_11,C,C,inventory_policy_priority,inventory_policy_plus_range
0928326016000,6,31.0,13.179039716720581,23.08028817176819,3.8467146952946982,11.307692307692308,74.4525424895748,0.3401856533253815,established,recurring_4_6,recent_0_2,A,C,point_forecast_priority,point_forecast_plus_range
