base_model_key,variant_id,variant_mode,calibration_scale,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,under_100_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct,abs_bias_pct,cohort
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s1.25,expected,1.25,215,215,86,157,200,0.4,0.7302325581395349,0.9302325581395349,56.032360792160034,74.92980320373935,0.5038444413079156,58.1463984619297,6830.0,6193.7980082035065,-9.314816863784678,9.314816863784678,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s1.25,expected,1.25,215,215,86,155,203,0.4,0.7209302325581395,0.9441860465116279,54.718032750216395,72.2412707713934,0.47902816220333705,57.4900337804987,6830.0,6225.139951586723,-8.855930430648268,8.855930430648268,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__expected__p1.00__none__b0.00__s2.00,expected,2.0,215,215,70,152,202,0.32558139534883723,0.7069767441860465,0.9395348837209302,58.0549132439398,74.90486626823744,0.5220666935569362,59.94870322776923,6830.0,6279.509537160397,-8.059889646260665,8.059889646260665,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,215,215,35,152,215,0.16279069767441862,0.7069767441860465,1.0,62.817053496837616,71.67413164317531,0.5658681094646454,67.51641199276354,6830.0,2744.7690550386906,-59.8130445821568,59.8130445821568,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s1.50,soft,1.5,215,215,85,151,207,0.3953488372093023,0.7023255813953488,0.9627906976744186,56.07245835390958,72.85967652314628,0.48402577859384044,58.82904780382293,6830.0,6338.028585076332,-7.2030953868765435,7.2030953868765435,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s1.25,soft,1.25,215,215,84,151,200,0.39069767441860465,0.7023255813953488,0.9302325581395349,56.261519168285616,75.4221548822039,0.49093404938192925,58.402878990285046,6830.0,6509.939040899277,-4.686104818458613,4.686104818458613,recurring_a
block_sba,block_sba__baseline__s0.75,baseline,0.75,215,215,90,150,199,0.4186046511627907,0.6976744186046512,0.9255813953488372,54.7049594850329,75.4899996056102,0.5060164070516064,63.26060908679765,6830.0,7007.997014767128,2.606105633486506,2.606105633486506,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s1.75,soft,1.75,215,215,72,149,202,0.33488372093023255,0.6930232558139535,0.9395348837209302,56.59863948822022,73.92708415849647,0.5158360534244113,59.54353921409931,6830.0,6404.461138725281,-6.230437207536153,6.230437207536153,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s1.00,direct,1.0,215,215,80,148,197,0.37209302325581395,0.6883720930232559,0.9162790697674419,55.85310892625289,75.95863792631361,0.5004572123289108,59.01691355956596,6830.0,6585.969880223274,-3.5729153700838325,3.5729153700838325,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s1.25,soft,1.25,215,215,85,146,199,0.3953488372093023,0.6790697674418604,0.9255813953488372,56.54712915420534,76.13401997893237,0.5075448265782109,58.949388188813124,6830.0,6463.400734066963,-5.367485591991754,5.367485591991754,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__recent6__b0.25__s1.25,soft,1.25,215,215,80,144,195,0.37209302325581395,0.6697674418604651,0.9069767441860465,58.63339945122048,79.21311552806567,0.49937009811401367,61.193499242229656,6830.0,7103.329277396202,4.001892787645711,4.001892787645711,recurring_a
block_tsb,block_tsb__baseline__s0.75,baseline,0.75,215,215,87,141,193,0.4046511627906977,0.6558139534883721,0.8976744186046511,57.81338380049911,77.47786878742238,0.5218285932830666,64.55068672520386,6830.0,7447.464885110026,9.040481480381061,9.040481480381061,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s1.75,soft,1.75,215,215,70,141,200,0.32558139534883723,0.6558139534883721,0.9302325581395349,58.362295150756836,77.41419239309919,0.5153493039748248,61.67333214820566,6830.0,7024.220852792263,2.8436435255089756,2.8436435255089756,recurring_a
block_recent6,block_recent6__baseline__s0.75,baseline,0.75,215,215,80,140,193,0.37209302325581395,0.6511627906976745,0.8976744186046511,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__recent6__b0.25__s1.25,soft,1.25,215,215,78,138,192,0.3627906976744186,0.641860465116279,0.8930232558139535,58.29469746556775,79.76300509370009,0.5154042554938275,61.46236630170272,6830.0,7068.425547361374,3.4908572088048886,3.4908572088048886,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s1.50,expected,1.5,215,215,66,134,190,0.30697674418604654,0.6232558139534884,0.8837209302325582,60.820056994756065,82.88036867594107,0.5458436863762992,63.272766852274124,6830.0,7470.167915701866,9.372883099588083,9.372883099588083,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s2.00,soft,2.0,215,215,61,130,192,0.2837209302325581,0.6046511627906976,0.8930232558139535,63.970236900525215,82.46610655504114,0.556079455784389,63.96566715631443,6830.0,7319.384156703949,7.16521459303,7.16521459303,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s1.50,expected,1.5,215,215,64,128,185,0.29767441860465116,0.5953488372093023,0.8604651162790697,61.60513758659363,84.89628426956409,0.5524811426798503,63.81282179631391,6830.0,7432.55764400959,8.822220263683604,8.822220263683604,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s1.50,soft,1.5,215,215,60,128,180,0.27906976744186046,0.5953488372093023,0.8372093023255814,62.622747923198496,86.80283108879539,0.5657724142074585,65.31412394469164,6830.0,7811.9268572330475,14.376674337233492,14.376674337233492,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__expected__p1.00__none__b0.00__s0.75,expected,0.75,215,215,16,126,215,0.07441860465116279,0.586046511627907,1.0,66.89722487267028,74.97696741892581,0.6044282295085766,71.24913425998841,6830.0,2354.8160735070705,-65.52245866021859,65.52245866021859,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__recent6__b0.25__s1.50,soft,1.5,215,215,61,124,181,0.2837209302325581,0.5767441860465117,0.8418604651162791,63.79030484419603,86.9005729774916,0.5568302594698392,67.05863462883767,6830.0,8079.820147275925,18.298977266118957,18.298977266118957,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s1.50,soft,1.5,215,215,61,124,178,0.2837209302325581,0.5767441860465117,0.827906976744186,63.742240000579315,88.54272047678629,0.5746232230087807,65.60047429616769,6830.0,7756.0808634758,13.559017034784766,13.559017034784766,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s2.00,soft,2.0,215,215,64,123,185,0.29767441860465116,0.5720930232558139,0.8604651162790697,62.3435550265842,82.80207505110305,0.5607974529266357,65.59920643206746,6830.0,7710.413110077381,12.890382285173954,12.890382285173954,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__recent6__b0.25__s1.50,soft,1.5,215,215,60,119,177,0.27906976744186046,0.5534883720930233,0.8232558139534883,63.45968526952407,88.43000663651361,0.5732108996464655,67.08832952323455,6830.0,8037.9356434345245,17.685734164487915,17.685734164487915,recurring_a
block_sba,block_sba__baseline__s1.00,baseline,1.0,215,215,52,115,172,0.24186046511627907,0.5348837209302325,0.8,65.21230857622272,92.28487389009139,0.6105983585100342,78.70353603363215,6830.0,9343.996019689503,36.80814084464865,36.80814084464865,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s1.25,direct,1.25,215,215,55,114,168,0.2558139534883721,0.5302325581395348,0.7813953488372093,66.68162626378677,94.65471693113739,0.5986775251535269,67.95818158159493,6830.0,8232.462357282639,20.53385588993614,20.53385588993614,recurring_a
block_recent6,block_recent6__baseline__s1.00,baseline,1.0,215,215,40,111,166,0.18604651162790697,0.5162790697674419,0.772093023255814,67.6470588235294,94.41379310344828,0.6,78.77745241581259,6830.0,8883.5,30.06588579795022,30.06588579795022,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s1.75,expected,1.75,215,215,42,103,162,0.19534883720930232,0.4790697674418605,0.7534883720930232,71.22350215911865,99.53804796392268,0.6471255909312856,72.26197778044124,6830.0,8715.195919156075,27.60169720579904,27.60169720579904,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__recent6__b0.25__s1.75,soft,1.75,215,215,43,102,158,0.2,0.4744186046511628,0.7348837209302326,72.12961060660226,102.07798343965376,0.6575230729990994,74.55892875463337,6830.0,9056.31099140644,32.59606136759064,32.59606136759064,recurring_a
block_tsb,block_tsb__baseline__s1.00,baseline,1.0,215,215,38,101,164,0.17674418604651163,0.4697674418604651,0.7627906976744186,71.64063448958517,95.18346618519769,0.6531720122476431,82.47883129127428,6830.0,9929.953180146702,45.387308640508074,45.387308640508074,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__recent6__b0.25__s1.75,soft,1.75,215,215,42,99,158,0.19534883720930232,0.4604651162790698,0.7348837209302326,71.66558064912495,101.34200851122537,0.669743850313384,74.55826196279568,6830.0,9007.445784807205,31.880611783414423,31.880611783414423,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s1.75,expected,1.75,215,215,41,99,160,0.19069767441860466,0.4604651162790698,0.7441860465116279,73.91237562352961,100.78924116046952,0.6710128784179688,72.47035044876758,6830.0,8671.31723511219,26.95925673663529,26.95925673663529,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s1.75,soft,1.75,215,215,41,96,155,0.19069767441860466,0.44651162790697674,0.7209302325581395,75.28934129854528,105.13370342743704,0.6829778909683226,75.349450762415,6830.0,9113.914667487144,33.43945340391134,33.43945340391134,recurring_a
block_seasonal,block_seasonal__baseline__s0.75,baseline,0.75,215,215,40,94,158,0.18604651162790697,0.4372093023255814,0.7348837209302326,75.0,106.00961538461539,0.7361111111111112,101.67956494457228,6830.0,10619.071428571428,55.47688768040157,55.47688768040157,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s1.75,soft,1.75,215,215,37,93,152,0.17209302325581396,0.4325581395348837,0.7069767441860465,76.78563481285458,105.30009993657409,0.6978474514825004,75.30263790972586,6830.0,9048.631679177284,32.48362634227356,32.48362634227356,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__recent6__b0.25__s2.00,soft,2.0,215,215,24,76,144,0.11162790697674418,0.35348837209302325,0.6697674418604651,83.5881233215332,115.51633925273501,0.7578225556541892,83.29074351016111,6830.0,10032.801857233047,46.89314578672105,46.89314578672105,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s1.50,direct,1.5,215,215,25,72,138,0.11627906976744186,0.33488372093023255,0.641860465116279,85.30056476593018,117.06934750935679,0.7451652180064807,82.1022293874844,6830.0,9878.947847008705,44.64052484639392,44.64052484639392,recurring_a
block_sba,block_sba__baseline__s1.25,baseline,1.25,215,215,25,71,135,0.11627906976744186,0.3302325581395349,0.627906976744186,82.7682971865117,120.86927152587356,0.8061643787591635,101.17882092650063,6830.0,11679.99502461188,71.01017605581085,71.01017605581085,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s2.00,expected,2.0,215,215,24,68,142,0.11162790697674418,0.31627906976744186,0.6604651162790698,85.14929744932387,119.42899340674991,0.781744449369369,83.32837036727638,6830.0,9959.465865850449,45.81941238434039,45.81941238434039,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__recent6__b0.25__s2.00,soft,2.0,215,215,25,66,142,0.11627906976744186,0.30697674418604654,0.6604651162790698,83.37917821160678,116.40363230424768,0.7574486541748047,83.16281143428641,6830.0,9976.9558634758,46.07548848427232,46.07548848427232,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s2.00,expected,2.0,215,215,22,65,138,0.10232558139534884,0.3023255813953488,0.641860465116279,85.45207050111559,119.21595722182185,0.8019451756631174,83.44247582018113,6830.0,9908.915039300919,45.07928315228285,45.07928315228285,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s2.00,soft,2.0,215,215,16,64,130,0.07441860465116279,0.29767441860465116,0.6046511627906976,90.57226181030273,126.96150962571451,0.8065076028147051,87.48557418890265,6830.0,10413.857331752777,52.47228889828371,52.47228889828371,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s2.00,soft,2.0,215,215,18,62,128,0.08372093023255814,0.28837209302325584,0.5953488372093023,91.09951757615612,127.4208647953181,0.8320151964823405,87.24689584525403,6830.0,10339.314256429672,51.3808822317668,51.3808822317668,recurring_a
block_recent6,block_recent6__baseline__s1.25,baseline,1.25,215,215,21,55,130,0.09767441860465116,0.2558139534883721,0.6046511627906976,89.58333333333333,115.76704545454545,0.8143939393939394,99.64677891654466,6830.0,11104.375,62.58235724743778,62.58235724743778,recurring_a
block_seasonal,block_seasonal__baseline__s1.00,baseline,1.0,215,215,20,55,111,0.09302325581395349,0.2558139534883721,0.5162790697674419,93.65079365079364,155.86910439851616,1.025,141.35118176113784,6830.0,14158.761904761905,107.3025169072021,107.3025169072021,recurring_a
block_tsb,block_tsb__baseline__s1.25,baseline,1.25,215,215,14,55,116,0.06511627906976744,0.2558139534883721,0.5395348837209303,92.92205135546784,132.20159249051306,0.8807010842648989,108.53055099724854,6830.0,12412.44147518338,81.73413580063513,81.73413580063513,recurring_a
block_sba,block_sba__baseline__s1.50,baseline,1.5,215,215,12,40,93,0.05581395348837209,0.18604651162790697,0.4325581395348837,109.08698888914925,160.16442979096064,1.0073375230056243,128.2391827216686,6830.0,14015.994029534257,105.21221126697301,105.21221126697301,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s1.75,direct,1.75,215,215,11,40,97,0.05116279069767442,0.18604651162790697,0.4511627906976744,107.47192607206456,147.9495641258028,0.9657396872838339,99.08477356632841,6830.0,11516.358330726624,68.61432402235174,68.61432402235174,recurring_a
block_seasonal,block_seasonal__baseline__s1.25,baseline,1.25,215,215,9,31,80,0.04186046511627907,0.14418604651162792,0.37209302325581395,127.18253968253967,218.64737274220033,1.3427419354838708,186.11796695252036,6830.0,17698.45238095238,159.12814613400266,159.12814613400266,recurring_a
block_recent6,block_recent6__baseline__s1.50,baseline,1.5,215,215,8,29,76,0.037209302325581395,0.13488372093023257,0.35348837209302325,114.0,150.0,1.04,124.19838945827233,6830.0,13325.25,95.09882869692532,95.09882869692532,recurring_a
block_tsb,block_tsb__baseline__s1.50,baseline,1.5,215,215,8,25,77,0.037209302325581395,0.11627906976744186,0.3581395348837209,121.001540214953,173.9103847135732,1.1448911605610272,138.56794634762275,6830.0,14894.929770220053,118.08096296076212,118.08096296076212,recurring_a
block_sba,block_sba__baseline__s1.75,baseline,1.75,215,215,5,25,63,0.023255813953488372,0.11627906976744186,0.2930232558139535,137.49606678648814,200.55795910068628,1.264379398723733,157.73746065608032,6830.0,16351.993034456631,139.41424647813514,139.41424647813514,recurring_a
block_seasonal,block_seasonal__baseline__s1.50,baseline,1.5,215,215,6,19,50,0.027906976744186046,0.08837209302325581,0.23255813953488372,169.80519480519482,282.3768472906404,1.6875,232.9198912361431,6830.0,21238.142857142855,210.95377536080315,210.95377536080315,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s2.00,direct,2.0,215,215,5,19,64,0.023255813953488372,0.08837209302325581,0.29767441860465116,127.85706684507173,177.69246165170318,1.2322992536756727,118.09617136442819,6830.0,13149.96370768547,92.53241153273017,92.53241153273017,recurring_a
block_recent6,block_recent6__baseline__s1.75,baseline,1.75,215,215,5,16,43,0.023255813953488372,0.07441860465116279,0.2,141.66666666666666,181.67344173441734,1.3238636363636362,151.4842606149341,6830.0,15546.125,127.61530014641288,127.61530014641288,recurring_a
block_tsb,block_tsb__baseline__s1.75,baseline,1.75,215,215,3,15,49,0.013953488372093023,0.06976744186046512,0.22790697674418606,154.6422311520315,219.1538230587525,1.4363627963046608,170.97657811910315,6830.0,17377.41806525673,154.42779012088917,154.42779012088917,recurring_a
block_sba,block_sba__baseline__s2.00,baseline,2.0,215,215,3,13,40,0.013953488372093023,0.06046511627906977,0.18604651162790697,167.78816903630735,243.4948104007843,1.5254774996715825,188.855930695109,6830.0,18687.992039379005,173.6162816892973,173.6162816892973,recurring_a
block_seasonal,block_seasonal__baseline__s1.75,baseline,1.75,215,215,5,12,35,0.023255813953488372,0.05581395348837209,0.16279069767441862,204.00641025641022,341.52298850574715,2.0138888888888884,281.3714006832601,6830.0,24777.83333333333,262.7794045876036,262.7794045876036,recurring_a
block_seasonal,block_seasonal__baseline__s2.00,baseline,2.0,215,215,2,11,25,0.009302325581395349,0.05116279069767442,0.11627906976744186,247.43589743589743,404.59770114942535,2.349206349206349,330.6602523879244,6830.0,28317.52380952381,314.60503381440424,314.60503381440424,recurring_a
block_tsb,block_tsb__baseline__s2.00,baseline,2.0,215,215,3,8,26,0.013953488372093023,0.037209302325581395,0.12093023255813953,188.34540377317217,263.41767294013687,1.708544099615998,204.26422074973786,6830.0,19859.906360293404,190.77461728101616,190.77461728101616,recurring_a
block_recent6,block_recent6__baseline__s2.00,baseline,2.0,215,215,3,8,24,0.013953488372093023,0.037209302325581395,0.11162790697674418,168.42105263157896,217.94871794871796,1.611111111111111,179.86822840409957,6830.0,17767.0,160.13177159590043,160.13177159590043,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s0.75,expected,0.75,110,110,34,73,99,0.3090909090909091,0.6636363636363637,0.9,61.65720181805747,80.19909846662271,0.38636621785729297,65.97492603243006,1568.0,1274.225752055645,-18.735602547471622,18.735602547471622,recurring_b
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s0.75,soft,0.75,110,110,33,72,97,0.3,0.6545454545454545,0.8818181818181818,60.790249918188366,79.97960136996375,0.3940710817137335,68.21570404330079,1568.0,1281.044946718216,-18.30070492868521,18.30070492868521,recurring_b
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s1.00,soft,1.0,110,110,28,72,98,0.2545454545454545,0.6545454545454545,0.8909090909090909,63.09234716675498,82.08073304458098,0.4098954031735788,67.66288990002809,1568.0,1240.2132341563702,-20.904768229823333,20.904768229823333,recurring_b
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,110,110,32,71,97,0.2909090909090909,0.6454545454545455,0.8818181818181818,61.11470049335843,78.3775548140208,0.3844034403209159,66.25179744572664,1568.0,1345.221297442913,-14.207825418181566,14.207825418181566,recurring_b
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,110,110,25,69,101,0.22727272727272727,0.6272727272727273,0.9181818181818182,61.95978791031063,79.02539943273251,0.4096619313484744,68.12339067002948,1568.0,930.1599268913269,-40.67857609111436,40.67857609111436,recurring_b
